Date,Traded Companies,Stock Symbol,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.,Sector
2015-01-01,Kumari Bank Limited,KBL,7,385.0,370.0,384.0,2293.0,862831.0,365.0,19.0,Commercial Banks
2015-01-04,Kumari Bank Limited,KBL,8,390.0,380.0,387.0,2132.0,820183.0,384.0,3.0,Commercial Banks
2015-01-05,Kumari Bank Limited,KBL,19,396.0,380.0,388.0,6772.0,2622837.0,387.0,1.0,Commercial Banks
2015-01-06,Kumari Bank Limited,KBL,19,383.0,375.0,378.0,6412.0,2430839.0,388.0,-10.0,Commercial Banks
2015-01-07,Kumari Bank Limited,KBL,19,385.0,371.0,373.0,4210.0,1585513.0,378.0,-5.0,Commercial Banks
2015-01-08,Kumari Bank Limited,KBL,14,388.0,377.0,377.0,2267.0,865881.0,373.0,4.0,Commercial Banks
2015-01-11,Kumari Bank Limited,KBL,9,383.0,373.0,383.0,4349.0,1628082.0,377.0,6.0,Commercial Banks
2015-01-12,Kumari Bank Limited,KBL,7,377.0,371.0,371.0,3172.0,1180918.0,383.0,-12.0,Commercial Banks
2015-01-13,Kumari Bank Limited,KBL,16,382.0,368.0,380.0,5069.0,1881633.0,371.0,9.0,Commercial Banks
2015-01-14,Kumari Bank Limited,KBL,8,382.0,369.0,375.0,2965.0,1108559.0,380.0,-5.0,Commercial Banks
2015-01-18,Kumari Bank Limited,KBL,23,377.0,368.0,377.0,8341.0,3103425.0,375.0,2.0,Commercial Banks
2015-01-19,Kumari Bank Limited,KBL,45,405.0,384.0,395.0,11395.0,4457451.0,377.0,18.0,Commercial Banks
2015-01-20,Kumari Bank Limited,KBL,30,399.0,380.0,380.0,10438.0,4040183.0,395.0,-15.0,Commercial Banks
2015-01-22,Kumari Bank Limited,KBL,4,375.0,373.0,375.0,858.0,320282.0,380.0,-5.0,Commercial Banks
2015-01-25,Kumari Bank Limited,KBL,23,395.0,371.0,375.0,14353.0,5404753.0,375.0,0.0,Commercial Banks
2015-01-26,Kumari Bank Limited,KBL,83,401.0,382.0,397.0,26824.0,10556295.0,375.0,22.0,Commercial Banks
2015-01-27,Kumari Bank Limited,KBL,45,408.0,400.0,406.0,14381.0,5817695.0,397.0,9.0,Commercial Banks
2015-01-28,Kumari Bank Limited,KBL,23,421.0,408.0,417.0,4863.0,2018177.0,406.0,11.0,Commercial Banks
2015-01-29,Kumari Bank Limited,KBL,49,437.0,415.0,420.0,16327.0,6892931.0,417.0,3.0,Commercial Banks
2015-02-01,Kumari Bank Limited,KBL,35,429.0,420.0,422.0,9650.0,4075272.0,420.0,2.0,Commercial Banks
2015-02-02,Kumari Bank Limited,KBL,20,421.0,415.0,417.0,4988.0,2084355.0,422.0,-5.0,Commercial Banks
2015-02-03,Kumari Bank Limited,KBL,29,420.0,410.0,410.0,10481.0,4330972.0,417.0,-7.0,Commercial Banks
2015-02-04,Kumari Bank Limited,KBL,25,418.0,406.0,406.0,7476.0,3052761.0,410.0,-4.0,Commercial Banks
2015-02-05,Kumari Bank Limited,KBL,24,403.0,399.0,401.0,13262.0,5314540.0,406.0,-5.0,Commercial Banks
2015-02-08,Kumari Bank Limited,KBL,21,415.0,399.0,405.0,7867.0,3178525.0,401.0,4.0,Commercial Banks
2015-02-09,Kumari Bank Limited,KBL,29,408.0,404.0,404.0,6790.0,2757321.0,405.0,-1.0,Commercial Banks
2015-02-10,Kumari Bank Limited,KBL,15,404.0,400.0,402.0,5283.0,2122892.0,404.0,-2.0,Commercial Banks
2015-02-11,Kumari Bank Limited,KBL,17,408.0,400.0,403.0,9909.0,3993516.0,402.0,1.0,Commercial Banks
2015-02-12,Kumari Bank Limited,KBL,15,410.0,392.0,403.0,7096.0,2841710.0,403.0,0.0,Commercial Banks
2015-02-15,Kumari Bank Limited,KBL,20,408.0,405.0,405.0,6705.0,2717797.0,403.0,2.0,Commercial Banks
2015-02-16,Kumari Bank Limited,KBL,28,405.0,397.0,398.0,7869.0,3147794.0,405.0,-7.0,Commercial Banks
2015-02-18,Kumari Bank Limited,KBL,20,401.0,397.0,397.0,6047.0,2409578.0,398.0,-1.0,Commercial Banks
2015-02-22,Kumari Bank Limited,KBL,25,397.0,388.0,394.0,8972.0,3519562.0,397.0,-3.0,Commercial Banks
2015-02-23,Kumari Bank Limited,KBL,27,395.0,387.0,393.0,10737.0,4212119.0,394.0,-1.0,Commercial Banks
2015-02-24,Kumari Bank Limited,KBL,12,393.0,385.0,392.0,4249.0,1656445.0,393.0,-1.0,Commercial Banks
2015-02-25,Kumari Bank Limited,KBL,10,399.0,389.0,390.0,1571.0,614117.0,392.0,-2.0,Commercial Banks
2015-02-26,Kumari Bank Limited,KBL,6,391.0,390.0,391.0,1874.0,732106.0,390.0,1.0,Commercial Banks
2015-03-01,Kumari Bank Limited,KBL,21,392.0,384.0,392.0,7384.0,2867572.0,391.0,1.0,Commercial Banks
2015-03-02,Kumari Bank Limited,KBL,15,405.0,391.0,401.0,5729.0,2260834.0,392.0,9.0,Commercial Banks
2015-03-03,Kumari Bank Limited,KBL,4,395.0,390.0,390.0,1139.0,445405.0,401.0,-11.0,Commercial Banks
2015-03-04,Kumari Bank Limited,KBL,23,399.0,388.0,395.0,9278.0,3655508.0,390.0,5.0,Commercial Banks
2015-03-09,Kumari Bank Limited,KBL,26,405.0,398.0,400.0,8374.0,3352883.0,395.0,5.0,Commercial Banks
2015-03-10,Kumari Bank Limited,KBL,16,402.0,390.0,391.0,5286.0,2105384.0,400.0,-9.0,Commercial Banks
2015-03-11,Kumari Bank Limited,KBL,26,391.0,385.0,388.0,10210.0,3963361.0,391.0,-3.0,Commercial Banks
2015-03-12,Kumari Bank Limited,KBL,33,395.0,381.0,390.0,7225.0,2805354.0,388.0,2.0,Commercial Banks
2015-03-15,Kumari Bank Limited,KBL,21,390.0,381.0,385.0,6171.0,2360986.0,390.0,-5.0,Commercial Banks
2015-03-16,Kumari Bank Limited,KBL,45,388.0,378.0,378.0,12146.0,4623913.0,385.0,-7.0,Commercial Banks
2015-03-17,Kumari Bank Limited,KBL,32,385.0,370.0,381.0,6449.0,2441631.0,378.0,3.0,Commercial Banks
2015-03-18,Kumari Bank Limited,KBL,21,388.0,374.0,381.0,4936.0,1872393.0,381.0,0.0,Commercial Banks
2015-03-19,Kumari Bank Limited,KBL,36,389.0,379.0,389.0,10451.0,4000618.0,381.0,8.0,Commercial Banks
2015-03-22,Kumari Bank Limited,KBL,34,394.0,385.0,387.0,15271.0,5897565.0,389.0,-2.0,Commercial Banks
2015-03-23,Kumari Bank Limited,KBL,24,383.0,375.0,377.0,10730.0,4066310.0,387.0,-10.0,Commercial Banks
2015-03-24,Kumari Bank Limited,KBL,34,384.0,377.0,380.0,13842.0,5268704.0,377.0,3.0,Commercial Banks
2015-03-25,Kumari Bank Limited,KBL,17,378.0,375.0,376.0,4964.0,1870225.0,380.0,-4.0,Commercial Banks
2015-03-26,Kumari Bank Limited,KBL,26,377.0,370.0,377.0,8052.0,3011711.0,376.0,1.0,Commercial Banks
2015-03-29,Kumari Bank Limited,KBL,25,385.0,375.0,385.0,7579.0,2878250.0,377.0,8.0,Commercial Banks
2015-03-30,Kumari Bank Limited,KBL,16,385.0,368.0,375.0,8277.0,3084838.0,385.0,-10.0,Commercial Banks
2015-03-31,Kumari Bank Limited,KBL,26,392.0,375.0,385.0,9528.0,3658633.0,375.0,10.0,Commercial Banks
2015-04-01,Kumari Bank Limited,KBL,3,383.0,379.0,379.0,601.0,229151.0,385.0,-6.0,Commercial Banks
2015-04-02,Kumari Bank Limited,KBL,26,380.0,370.0,376.0,8713.0,3258069.0,379.0,-3.0,Commercial Banks
2015-04-05,Kumari Bank Limited,KBL,19,375.0,372.0,375.0,5081.0,1900105.0,376.0,-1.0,Commercial Banks
2015-04-06,Kumari Bank Limited,KBL,10,384.0,378.0,378.0,1814.0,692110.0,375.0,3.0,Commercial Banks
2015-04-07,Kumari Bank Limited,KBL,7,379.0,373.0,379.0,1214.0,455100.0,378.0,1.0,Commercial Banks
2015-04-08,Kumari Bank Limited,KBL,13,382.0,377.0,378.0,4568.0,1735782.0,379.0,-1.0,Commercial Banks
2015-04-09,Kumari Bank Limited,KBL,14,394.0,378.0,382.0,2467.0,942745.0,378.0,4.0,Commercial Banks
2015-04-12,Kumari Bank Limited,KBL,27,392.0,380.0,385.0,9353.0,3594632.0,382.0,3.0,Commercial Banks
2015-04-13,Kumari Bank Limited,KBL,17,382.0,374.0,380.0,11327.0,4280650.0,385.0,-5.0,Commercial Banks
2015-04-15,Kumari Bank Limited,KBL,5,380.0,370.0,370.0,4384.0,1625510.0,380.0,-10.0,Commercial Banks
2015-04-16,Kumari Bank Limited,KBL,18,403.0,371.0,390.0,9678.0,3676206.0,370.0,20.0,Commercial Banks
2015-04-19,Kumari Bank Limited,KBL,18,391.0,380.0,385.0,4154.0,1600540.0,390.0,-5.0,Commercial Banks
2015-04-20,Kumari Bank Limited,KBL,24,390.0,384.0,384.0,6440.0,2489940.0,385.0,-1.0,Commercial Banks
2015-04-21,Kumari Bank Limited,KBL,14,388.0,384.0,384.0,2437.0,938921.0,384.0,0.0,Commercial Banks
2015-04-22,Kumari Bank Limited,KBL,4,382.0,380.0,380.0,218.0,82968.0,384.0,-4.0,Commercial Banks
2015-04-23,Kumari Bank Limited,KBL,19,385.0,377.0,380.0,5164.0,1964962.0,380.0,0.0,Commercial Banks
2015-05-26,Kumari Bank Limited,KBL,7,373.0,342.0,342.0,825.0,299317.0,380.0,-38.0,Commercial Banks
2015-05-27,Kumari Bank Limited,KBL,45,336.0,308.0,308.0,8997.0,2780994.0,342.0,-34.0,Commercial Banks
2015-05-28,Kumari Bank Limited,KBL,54,326.0,295.0,324.0,22946.0,7005040.0,308.0,16.0,Commercial Banks
2015-05-31,Kumari Bank Limited,KBL,66,346.0,324.0,346.0,20824.0,6932143.0,324.0,22.0,Commercial Banks
2015-06-01,Kumari Bank Limited,KBL,57,360.0,337.0,352.0,18772.0,6470883.0,346.0,6.0,Commercial Banks
2015-06-02,Kumari Bank Limited,KBL,26,353.0,331.0,349.0,7718.0,2622018.0,352.0,-3.0,Commercial Banks
2015-06-03,Kumari Bank Limited,KBL,39,370.0,348.0,368.0,11966.0,4355941.0,349.0,19.0,Commercial Banks
2015-06-04,Kumari Bank Limited,KBL,43,381.0,361.0,367.0,12321.0,4576861.0,368.0,-1.0,Commercial Banks
2015-06-07,Kumari Bank Limited,KBL,32,384.0,364.0,379.0,8805.0,3318241.0,367.0,12.0,Commercial Banks
2015-06-08,Kumari Bank Limited,KBL,46,392.0,378.0,384.0,13049.0,5001856.0,379.0,5.0,Commercial Banks
2015-06-09,Kumari Bank Limited,KBL,77,420.0,389.0,399.0,23922.0,9431311.0,384.0,15.0,Commercial Banks
2015-06-10,Kumari Bank Limited,KBL,37,395.0,377.0,388.0,7544.0,2929939.0,399.0,-11.0,Commercial Banks
2015-06-11,Kumari Bank Limited,KBL,25,383.0,377.0,377.0,6220.0,2352930.0,388.0,-11.0,Commercial Banks
2015-06-14,Kumari Bank Limited,KBL,25,377.0,370.0,372.0,7138.0,2656249.0,377.0,-5.0,Commercial Banks
2015-06-15,Kumari Bank Limited,KBL,18,385.0,373.0,375.0,4557.0,1728986.0,372.0,3.0,Commercial Banks
2015-06-16,Kumari Bank Limited,KBL,19,380.0,367.0,370.0,8268.0,3065399.0,375.0,-5.0,Commercial Banks
2015-06-17,Kumari Bank Limited,KBL,8,371.0,367.0,371.0,2364.0,874271.0,370.0,1.0,Commercial Banks
2015-06-18,Kumari Bank Limited,KBL,24,372.0,368.0,368.0,11724.0,4319486.0,371.0,-3.0,Commercial Banks
2015-06-21,Kumari Bank Limited,KBL,31,377.0,362.0,373.0,10535.0,3882404.0,368.0,5.0,Commercial Banks
2015-06-22,Kumari Bank Limited,KBL,11,380.0,365.0,365.0,3175.0,1175130.0,373.0,-8.0,Commercial Banks
