Date,Traded Companies,Stock Symbol,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.,Sector
2010-05-09,Kumari Bank Limited,KBL,3,360.0,360.0,360.0,51.0,18360.0,367.0,-7.0,Commercial Banks
2010-05-10,Kumari Bank Limited,KBL,10,368.0,353.0,365.0,828.0,298478.0,360.0,5.0,Commercial Banks
2010-05-11,Kumari Bank Limited,KBL,7,397.0,370.0,390.0,251.0,97440.0,365.0,25.0,Commercial Banks
2010-05-12,Kumari Bank Limited,KBL,20,429.0,383.0,429.0,3104.0,1269865.0,390.0,39.0,Commercial Banks
2010-05-13,Kumari Bank Limited,KBL,36,469.0,410.0,423.0,4978.0,2169207.0,429.0,-6.0,Commercial Banks
2010-05-16,Kumari Bank Limited,KBL,15,415.0,387.0,387.0,1548.0,606967.0,423.0,-36.0,Commercial Banks
2010-05-17,Kumari Bank Limited,KBL,4,406.0,394.0,406.0,168.0,67102.0,387.0,19.0,Commercial Banks
2010-05-18,Kumari Bank Limited,KBL,22,420.0,394.0,412.0,2615.0,1052670.0,406.0,6.0,Commercial Banks
2010-05-19,Kumari Bank Limited,KBL,3,418.0,410.0,418.0,224.0,92720.0,412.0,6.0,Commercial Banks
2010-05-20,Kumari Bank Limited,KBL,14,435.0,418.0,425.0,1033.0,444665.0,418.0,7.0,Commercial Banks
2010-05-23,Kumari Bank Limited,KBL,15,433.0,408.0,408.0,1478.0,618248.0,425.0,-17.0,Commercial Banks
2010-05-24,Kumari Bank Limited,KBL,6,422.0,416.0,420.0,785.0,328984.0,408.0,12.0,Commercial Banks
2010-05-25,Kumari Bank Limited,KBL,18,460.0,428.0,455.0,2340.0,1052388.0,420.0,35.0,Commercial Banks
2010-05-26,Kumari Bank Limited,KBL,15,473.0,424.0,424.0,1599.0,730717.0,455.0,-31.0,Commercial Banks
2010-05-30,Kumari Bank Limited,KBL,5,465.0,432.0,465.0,179.0,79410.0,424.0,41.0,Commercial Banks
2010-05-31,Kumari Bank Limited,KBL,39,492.0,426.0,430.0,3849.0,1755172.0,465.0,-35.0,Commercial Banks
2010-06-01,Kumari Bank Limited,KBL,10,445.0,420.0,445.0,1798.0,780682.0,430.0,15.0,Commercial Banks
2010-06-02,Kumari Bank Limited,KBL,5,441.0,425.0,441.0,349.0,149546.0,445.0,-4.0,Commercial Banks
2010-06-03,Kumari Bank Limited,KBL,18,466.0,437.0,453.0,1746.0,790199.0,441.0,12.0,Commercial Banks
2010-06-07,Kumari Bank Limited,KBL,7,444.0,421.0,421.0,806.0,344576.0,453.0,-32.0,Commercial Banks
2010-06-08,Kumari Bank Limited,KBL,9,450.0,429.0,450.0,936.0,418709.0,421.0,29.0,Commercial Banks
2010-06-09,Kumari Bank Limited,KBL,13,463.0,450.0,460.0,1469.0,670335.0,450.0,10.0,Commercial Banks
2010-06-10,Kumari Bank Limited,KBL,14,460.0,453.0,457.0,972.0,443224.0,460.0,-3.0,Commercial Banks
2010-06-13,Kumari Bank Limited,KBL,3,457.0,450.0,450.0,160.0,72567.0,457.0,-7.0,Commercial Banks
2010-06-14,Kumari Bank Limited,KBL,11,450.0,436.0,440.0,1170.0,516530.0,450.0,-10.0,Commercial Banks
2010-06-15,Kumari Bank Limited,KBL,11,445.0,440.0,445.0,992.0,437903.0,440.0,5.0,Commercial Banks
2010-06-16,Kumari Bank Limited,KBL,4,453.0,444.0,444.0,328.0,146392.0,445.0,-1.0,Commercial Banks
2010-06-17,Kumari Bank Limited,KBL,8,447.0,441.0,447.0,752.0,334748.0,444.0,3.0,Commercial Banks
2010-06-20,Kumari Bank Limited,KBL,17,455.0,450.0,450.0,2064.0,930501.0,447.0,3.0,Commercial Banks
2010-06-21,Kumari Bank Limited,KBL,4,455.0,450.0,451.0,538.0,242456.0,450.0,1.0,Commercial Banks
2010-06-22,Kumari Bank Limited,KBL,5,451.0,442.0,449.0,234.0,104534.0,451.0,-2.0,Commercial Banks
2010-06-23,Kumari Bank Limited,KBL,2,450.0,445.0,445.0,800.0,357400.0,449.0,-4.0,Commercial Banks
2010-06-24,Kumari Bank Limited,KBL,7,444.0,437.0,440.0,1086.0,479238.0,445.0,-5.0,Commercial Banks
2010-06-28,Kumari Bank Limited,KBL,3,440.0,440.0,440.0,292.0,128480.0,440.0,0.0,Commercial Banks
2010-06-29,Kumari Bank Limited,KBL,4,440.0,437.0,437.0,594.0,260901.0,440.0,-3.0,Commercial Banks
2010-06-30,Kumari Bank Limited,KBL,14,445.0,430.0,430.0,1368.0,595981.0,437.0,-7.0,Commercial Banks
2010-07-01,Kumari Bank Limited,KBL,27,456.0,438.0,448.0,3246.0,1449615.0,430.0,18.0,Commercial Banks
2010-07-04,Kumari Bank Limited,KBL,5,443.0,435.0,443.0,759.0,331770.0,448.0,-5.0,Commercial Banks
2010-07-05,Kumari Bank Limited,KBL,10,438.0,427.0,427.0,2420.0,1052696.0,443.0,-16.0,Commercial Banks
2010-07-06,Kumari Bank Limited,KBL,9,459.0,432.0,459.0,481.0,212570.0,427.0,32.0,Commercial Banks
2010-07-07,Kumari Bank Limited,KBL,7,450.0,435.0,440.0,811.0,356050.0,459.0,-19.0,Commercial Banks
2010-07-08,Kumari Bank Limited,KBL,15,434.0,427.0,430.0,1403.0,603034.0,440.0,-10.0,Commercial Banks
2010-07-11,Kumari Bank Limited,KBL,6,435.0,426.0,435.0,502.0,217576.0,430.0,5.0,Commercial Banks
2010-07-12,Kumari Bank Limited,KBL,11,448.0,427.0,448.0,1650.0,711526.0,435.0,13.0,Commercial Banks
2010-07-13,Kumari Bank Limited,KBL,5,440.0,432.0,435.0,806.0,350612.0,448.0,-13.0,Commercial Banks
2010-07-14,Kumari Bank Limited,KBL,5,443.0,435.0,435.0,654.0,285296.0,435.0,0.0,Commercial Banks
2010-07-15,Kumari Bank Limited,KBL,8,468.0,443.0,468.0,448.0,205084.0,435.0,33.0,Commercial Banks
2010-07-18,Kumari Bank Limited,KBL,4,460.0,442.0,444.0,195.0,87020.0,468.0,-24.0,Commercial Banks
2010-07-19,Kumari Bank Limited,KBL,5,436.0,429.0,432.0,289.0,124740.0,444.0,-12.0,Commercial Banks
2010-07-20,Kumari Bank Limited,KBL,4,447.0,435.0,447.0,166.0,72558.0,432.0,15.0,Commercial Banks
2010-07-21,Kumari Bank Limited,KBL,1,450.0,450.0,450.0,80.0,36000.0,447.0,3.0,Commercial Banks
2010-07-22,Kumari Bank Limited,KBL,2,457.0,442.0,457.0,130.0,57910.0,450.0,7.0,Commercial Banks
2010-07-26,Kumari Bank Limited,KBL,6,448.0,432.0,438.0,655.0,285847.0,457.0,-19.0,Commercial Banks
2010-07-27,Kumari Bank Limited,KBL,1,440.0,440.0,440.0,128.0,56320.0,438.0,2.0,Commercial Banks
2010-07-28,Kumari Bank Limited,KBL,6,440.0,432.0,440.0,593.0,259059.0,440.0,0.0,Commercial Banks
2010-07-29,Kumari Bank Limited,KBL,6,440.0,425.0,430.0,629.0,271514.0,440.0,-10.0,Commercial Banks
2010-08-01,Kumari Bank Limited,KBL,5,435.0,431.0,435.0,250.0,108355.0,430.0,5.0,Commercial Banks
2010-08-02,Kumari Bank Limited,KBL,5,440.0,431.0,440.0,470.0,204590.0,435.0,5.0,Commercial Banks
2010-08-03,Kumari Bank Limited,KBL,2,448.0,440.0,448.0,112.0,49696.0,440.0,8.0,Commercial Banks
2010-08-04,Kumari Bank Limited,KBL,11,441.0,435.0,440.0,1535.0,670614.0,448.0,-8.0,Commercial Banks
2010-08-05,Kumari Bank Limited,KBL,3,445.0,440.0,445.0,348.0,153370.0,440.0,5.0,Commercial Banks
2010-08-09,Kumari Bank Limited,KBL,1,445.0,445.0,445.0,86.0,38270.0,445.0,0.0,Commercial Banks
2010-08-10,Kumari Bank Limited,KBL,1,437.0,437.0,437.0,60.0,26220.0,445.0,-8.0,Commercial Banks
2010-08-11,Kumari Bank Limited,KBL,5,430.0,425.0,428.0,1078.0,462502.0,437.0,-9.0,Commercial Banks
2010-08-12,Kumari Bank Limited,KBL,1,431.0,431.0,431.0,104.0,44824.0,428.0,3.0,Commercial Banks
2010-08-15,Kumari Bank Limited,KBL,3,431.0,424.0,424.0,474.0,203476.0,431.0,-7.0,Commercial Banks
2010-08-16,Kumari Bank Limited,KBL,6,432.0,429.0,432.0,353.0,151831.0,424.0,8.0,Commercial Banks
2010-08-17,Kumari Bank Limited,KBL,1,430.0,430.0,430.0,20.0,8600.0,432.0,-2.0,Commercial Banks
2010-08-18,Kumari Bank Limited,KBL,1,422.0,422.0,422.0,92.0,38824.0,430.0,-8.0,Commercial Banks
2010-08-19,Kumari Bank Limited,KBL,6,415.0,409.0,411.0,900.0,371080.0,422.0,-11.0,Commercial Banks
2010-08-22,Kumari Bank Limited,KBL,16,404.0,380.0,380.0,2701.0,1052870.0,411.0,-31.0,Commercial Banks
2010-08-23,Kumari Bank Limited,KBL,14,378.0,371.0,378.0,1713.0,638864.0,380.0,-2.0,Commercial Banks
2010-08-26,Kumari Bank Limited,KBL,6,386.0,383.0,385.0,1296.0,498846.0,378.0,7.0,Commercial Banks
2010-08-29,Kumari Bank Limited,KBL,5,387.0,381.0,387.0,223.0,85254.0,385.0,2.0,Commercial Banks
2010-08-30,Kumari Bank Limited,KBL,12,383.0,378.0,378.0,931.0,352979.0,387.0,-9.0,Commercial Banks
2010-08-31,Kumari Bank Limited,KBL,13,382.0,370.0,375.0,2713.0,1018740.0,378.0,-3.0,Commercial Banks
2010-09-02,Kumari Bank Limited,KBL,4,381.0,379.0,379.0,320.0,121720.0,375.0,4.0,Commercial Banks
2010-09-05,Kumari Bank Limited,KBL,18,375.0,360.0,361.0,2636.0,968029.0,379.0,-18.0,Commercial Banks
2010-09-06,Kumari Bank Limited,KBL,5,380.0,368.0,380.0,275.0,101920.0,361.0,19.0,Commercial Banks
2010-09-07,Kumari Bank Limited,KBL,8,390.0,380.0,387.0,419.0,160325.0,380.0,7.0,Commercial Banks
2010-09-08,Kumari Bank Limited,KBL,8,405.0,394.0,400.0,506.0,202618.0,387.0,13.0,Commercial Banks
2010-09-09,Kumari Bank Limited,KBL,4,394.0,390.0,390.0,382.0,149400.0,400.0,-10.0,Commercial Banks
2010-09-12,Kumari Bank Limited,KBL,1,383.0,383.0,383.0,41.0,15703.0,390.0,-7.0,Commercial Banks
2010-09-13,Kumari Bank Limited,KBL,1,376.0,376.0,376.0,200.0,75200.0,383.0,-7.0,Commercial Banks
2010-09-14,Kumari Bank Limited,KBL,5,372.0,363.0,372.0,520.0,190718.0,376.0,-4.0,Commercial Banks
2010-09-15,Kumari Bank Limited,KBL,3,381.0,375.0,381.0,304.0,114264.0,372.0,9.0,Commercial Banks
2010-09-19,Kumari Bank Limited,KBL,2,380.0,377.0,377.0,390.0,147600.0,381.0,-4.0,Commercial Banks
2010-09-20,Kumari Bank Limited,KBL,7,372.0,365.0,372.0,540.0,198460.0,377.0,-5.0,Commercial Banks
2010-09-21,Kumari Bank Limited,KBL,5,367.0,365.0,365.0,400.0,146300.0,372.0,-7.0,Commercial Banks
2010-09-23,Kumari Bank Limited,KBL,10,370.0,361.0,370.0,1161.0,424340.0,365.0,5.0,Commercial Banks
2010-09-26,Kumari Bank Limited,KBL,5,379.0,365.0,379.0,843.0,310599.0,370.0,9.0,Commercial Banks
2010-09-27,Kumari Bank Limited,KBL,12,377.0,365.0,365.0,641.0,238503.0,379.0,-14.0,Commercial Banks
2010-09-28,Kumari Bank Limited,KBL,16,358.0,344.0,355.0,1380.0,482711.0,365.0,-10.0,Commercial Banks
2010-09-29,Kumari Bank Limited,KBL,9,364.0,355.0,360.0,1303.0,465895.0,355.0,5.0,Commercial Banks
2010-09-30,Kumari Bank Limited,KBL,9,365.0,354.0,362.0,738.0,265525.0,360.0,2.0,Commercial Banks
2010-10-03,Kumari Bank Limited,KBL,8,369.0,355.0,369.0,654.0,234919.0,362.0,7.0,Commercial Banks
2010-10-05,Kumari Bank Limited,KBL,1,346.0,346.0,346.0,60.0,20760.0,340.0,6.0,Commercial Banks
2010-10-06,Kumari Bank Limited,KBL,2,352.0,346.0,352.0,121.0,42232.0,346.0,6.0,Commercial Banks
2010-10-07,Kumari Bank Limited,KBL,1,359.0,359.0,359.0,100.0,35900.0,352.0,7.0,Commercial Banks
2010-10-11,Kumari Bank Limited,KBL,1,352.0,352.0,352.0,92.0,32384.0,359.0,-7.0,Commercial Banks
2010-10-24,Kumari Bank Limited,KBL,2,366.0,366.0,366.0,276.0,101016.0,359.0,7.0,Commercial Banks
2010-10-25,Kumari Bank Limited,KBL,2,373.0,373.0,373.0,150.0,55950.0,366.0,7.0,Commercial Banks
2010-10-26,Kumari Bank Limited,KBL,7,378.0,370.0,370.0,333.0,123794.0,373.0,-3.0,Commercial Banks
2010-10-27,Kumari Bank Limited,KBL,6,375.0,363.0,364.0,427.0,156297.0,370.0,-6.0,Commercial Banks
2010-10-31,Kumari Bank Limited,KBL,1,368.0,368.0,368.0,20.0,7360.0,364.0,4.0,Commercial Banks
2010-11-02,Kumari Bank Limited,KBL,1,361.0,361.0,361.0,22.0,7942.0,361.0,0.0,Commercial Banks
2010-11-03,Kumari Bank Limited,KBL,4,359.0,355.0,359.0,414.0,148256.0,361.0,-2.0,Commercial Banks
2010-11-04,Kumari Bank Limited,KBL,7,367.0,356.0,367.0,781.0,280119.0,359.0,8.0,Commercial Banks
2010-11-09,Kumari Bank Limited,KBL,4,361.0,354.0,360.0,1052.0,376120.0,367.0,-7.0,Commercial Banks
2010-11-10,Kumari Bank Limited,KBL,6,365.0,353.0,360.0,1131.0,400325.0,360.0,0.0,Commercial Banks
2010-11-11,Kumari Bank Limited,KBL,6,365.0,355.0,364.0,275.0,98455.0,360.0,4.0,Commercial Banks
2010-11-14,Kumari Bank Limited,KBL,4,363.0,356.0,356.0,602.0,215826.0,364.0,-8.0,Commercial Banks
2010-11-15,Kumari Bank Limited,KBL,2,350.0,349.0,350.0,222.0,77610.0,356.0,-6.0,Commercial Banks
2010-11-16,Kumari Bank Limited,KBL,24,353.0,335.0,346.0,2954.0,1003626.0,350.0,-4.0,Commercial Banks
2010-11-18,Kumari Bank Limited,KBL,18,352.0,338.0,338.0,1526.0,524634.0,346.0,-8.0,Commercial Banks
2010-11-21,Kumari Bank Limited,KBL,16,333.0,320.0,320.0,1853.0,600866.0,338.0,-18.0,Commercial Banks
2010-11-22,Kumari Bank Limited,KBL,16,319.0,305.0,310.0,1764.0,548916.0,320.0,-10.0,Commercial Banks
2010-11-23,Kumari Bank Limited,KBL,16,326.0,309.0,326.0,1099.0,344773.0,310.0,16.0,Commercial Banks
2010-11-24,Kumari Bank Limited,KBL,4,331.0,326.0,326.0,561.0,185241.0,326.0,0.0,Commercial Banks
2010-11-25,Kumari Bank Limited,KBL,3,326.0,320.0,321.0,240.0,76940.0,326.0,-5.0,Commercial Banks
2010-11-28,Kumari Bank Limited,KBL,5,315.0,303.0,303.0,1086.0,331390.0,321.0,-18.0,Commercial Banks
2010-11-29,Kumari Bank Limited,KBL,32,308.0,291.0,308.0,5242.0,1559481.0,303.0,5.0,Commercial Banks
2010-11-30,Kumari Bank Limited,KBL,7,306.0,296.0,306.0,1037.0,311320.0,308.0,-2.0,Commercial Banks
2010-12-01,Kumari Bank Limited,KBL,4,310.0,306.0,306.0,255.0,78118.0,306.0,0.0,Commercial Banks
2010-12-02,Kumari Bank Limited,KBL,11,306.0,299.0,301.0,854.0,257063.0,306.0,-5.0,Commercial Banks
2010-12-05,Kumari Bank Limited,KBL,17,303.0,299.0,301.0,2954.0,887542.0,301.0,0.0,Commercial Banks
2010-12-06,Kumari Bank Limited,KBL,15,300.0,295.0,295.0,1298.0,385998.0,301.0,-6.0,Commercial Banks
2010-12-07,Kumari Bank Limited,KBL,1,295.0,295.0,295.0,534.0,157530.0,295.0,0.0,Commercial Banks
2010-12-08,Kumari Bank Limited,KBL,7,296.0,291.0,296.0,614.0,179803.0,295.0,1.0,Commercial Banks
2010-12-09,Kumari Bank Limited,KBL,2,301.0,296.0,301.0,126.0,37446.0,296.0,5.0,Commercial Banks
2010-12-12,Kumari Bank Limited,KBL,5,298.0,290.0,290.0,798.0,232915.0,301.0,-11.0,Commercial Banks
2010-12-13,Kumari Bank Limited,KBL,6,295.0,288.0,288.0,1428.0,412920.0,290.0,-2.0,Commercial Banks
2010-12-14,Kumari Bank Limited,KBL,7,291.0,285.0,291.0,765.0,219968.0,288.0,3.0,Commercial Banks
2010-12-15,Kumari Bank Limited,KBL,2,288.0,287.0,287.0,133.0,38207.0,291.0,-4.0,Commercial Banks
2010-12-16,Kumari Bank Limited,KBL,5,290.0,287.0,290.0,402.0,116191.0,287.0,3.0,Commercial Banks
2010-12-19,Kumari Bank Limited,KBL,2,290.0,290.0,290.0,262.0,75980.0,290.0,0.0,Commercial Banks
2010-12-20,Kumari Bank Limited,KBL,3,292.0,290.0,292.0,376.0,109240.0,290.0,2.0,Commercial Banks
2010-12-22,Kumari Bank Limited,KBL,1,297.0,297.0,297.0,200.0,59400.0,292.0,5.0,Commercial Banks
2010-12-23,Kumari Bank Limited,KBL,16,305.0,300.0,303.0,626.0,189434.0,297.0,6.0,Commercial Banks
2010-12-26,Kumari Bank Limited,KBL,3,310.0,309.0,310.0,444.0,137557.0,303.0,7.0,Commercial Banks
2010-12-27,Kumari Bank Limited,KBL,14,315.0,307.0,307.0,2614.0,807897.0,310.0,-3.0,Commercial Banks
2010-12-28,Kumari Bank Limited,KBL,7,307.0,301.0,301.0,1067.0,323611.0,307.0,-6.0,Commercial Banks
2010-12-29,Kumari Bank Limited,KBL,6,311.0,304.0,309.0,456.0,140084.0,301.0,8.0,Commercial Banks
2011-01-02,Kumari Bank Limited,KBL,17,312.0,290.0,290.0,1311.0,389903.0,309.0,-19.0,Commercial Banks
